feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
10511;icecat_10511;0;y_n;"Unique Top Gear Points of Interest";"An exhaustive of racetracks and raceways, including the Top Gear Test Track…a must have for any petrolhead.";
30643;icecat_30643;0;y_n;"Built-in headphones";;
6457;icecat_6457;0;text;"First-page-out time, printing (colour)";;s
2601;icecat_2601;0;numerical;"Cooling capacity in watts";;W
25191;icecat_25191;0;numerical;"Magnesium content (per 100 g)";;mg
16159;icecat_16159;0;;"Real stereo";;
22617;icecat_22617;0;y_n;"Boxing gloves included";;
29700;icecat_29700;0;y_n;"Strainer lid";;
2518;icecat_2518;0;y_n;"Illuminated on/off switch";;
6909;icecat_6909;0;text;"Keyboard control";;
27271;icecat_27271;0;y_n;"Polytetrafluoroethylene (PTFE) free";;
24777;icecat_24777;0;y_n;"Tablet compartment";;
2027;icecat_2027;0;text;"Maximum paper trays";;
7409;icecat_7409;0;numerical;Classes;;
24139;icecat_24139;0;;"Touch-sensitive area";;
30794;icecat_30794;0;numerical;"Vitamin B6 content";;mg/kg
4762;icecat_4762;0;text;"Temperature resolution";;
23349;icecat_23349;0;y_n;"Easy Adapt function";;
23479;icecat_23479;0;numerical;"Mixing capacity (max)";;kg
5106;icecat_5106;0;text;"Philips Intellegent Agent";;
9055;icecat_9055;0;dropdown;"LED backlighting type";"Backlighting  is the illumination of a screen e.g. LCD (liquid crystal display). There are several types of backlighting with LEDs, e.g. full array, edge lit.";
16131;icecat_16131;0;;"Instruction book";;
20997;icecat_20997;0;numerical;"Number of valve adapters";;
13672;icecat_13672;0;numerical;"Peak floating point performance (single precision)";;Gflops
