feature_id;pim_attribute_code;ignore_flag;feature_type;feature_name;feature_description;feature_unit
27337;icecat_27337;0;dropdown;"Motor AC input voltage";;V
8788;icecat_8788;0;y_n;"Keyboard compartment";;
6059;icecat_6059;0;numerical;"Memory registers";;
15103;icecat_15103;0;;"Daylight Savings Time (DST) adjustment";;
12328;icecat_12328;0;;"Airflex feeding bottle (330 ml)";;pc(s)
25014;icecat_25014;0;multi_dropdown;"Measurement technology";;
6020;icecat_6020;0;text;"Heater temperature setting";;°F
1363;icecat_1363;0;text;"Expansion access speed";;
18145;icecat_18145;0;numerical;"Processor speed";;DMIPS
12238;icecat_12238;0;;"Advanced lid and lock design";;
6142;icecat_6142;0;text;"Storage mirroring";;
28638;icecat_28638;0;numerical;"Allowable salt percentage in water (max)";;%
5911;icecat_5911;0;text;"Print speed (colour, best quality, letter)";;ppm
3367;icecat_3367;0;numerical;"Print speed (colour photo, best quality, A3) on photo paper";;ppm
5621;icecat_5621;0;text;"Heat / speed settings";;
8506;icecat_8506;0;3d;"Amplifier dimensions (W x D x H)";;mm
13817;icecat_13817;0;;"Cartridge height (imperial)";;""""
12854;icecat_12854;0;;"Charger base included";;
18757;icecat_18757;0;y_n;Low-angle;;
30436;icecat_30436;0;numerical;"Pouch 3 depth";;mm
14417;icecat_14417;0;;"Panel detachability";;
11621;icecat_11621;0;;"Light output";;lm
14153;icecat_14153;0;;"Triluminos display";;
20294;icecat_20294;0;;"Intelligent Power Off";;
19937;icecat_19937;0;multi_dropdown;"Console ports";;
13265;icecat_13265;0;;"No leaning forwards";;
26894;icecat_26894;0;numerical;"Fishfinder maximum depth";;m
6553;icecat_6553;0;y_n;"AquaStop function";"Function that stops water flowing in the event of a leak.";
22589;icecat_22589;0;text;"Blush colour name";;
29972;icecat_29972;0;y_n;Collapsible;;
1609;icecat_1609;0;text;"Audio A/D Converter (ADC)";;
8453;icecat_8453;0;range;"SLP mode frequency response";;Hz
14046;icecat_14046;0;;"Ear pieces included";;
31367;icecat_31367;0;numerical;"Number of sausage horns";;
16095;icecat_16095;0;y_n;"Password protection";"The computer, smartphone etc. can only be used when the correct password is entered, therefore making it more secure.";
10211;icecat_10211;0;y_n;"Second battery included";;
14305;icecat_14305;0;;"AVCHD movie recording format";;
15292;icecat_15292;0;y_n;"Soft wax included";"The product includes soft wax, which is used for body waxing (removing hair).";
5604;icecat_5604;0;range;"Multi-Purpose Tray media weight";;g/m²
4939;icecat_4939;0;text;"Call list capacity phonebook";;
28904;icecat_28904;0;dropdown;"Filter size";;
11246;icecat_11246;0;numerical;"Number of pencils included";;
28284;icecat_28284;0;numerical;"Number of appetizer cups";;
24667;icecat_24667;0;y_n;Smudge-proof;;
8679;icecat_8679;0;range;"Amplifier frequency range";;Hz
1446;icecat_1446;0;numerical;"Tape size";"The tape format or supported tape formats by equipment.";mm
17636;icecat_17636;0;y_n;"Adjustable armrest";;
2830;icecat_2830;0;numerical;"eSATA ports quantity";"The number of ports (interfaces) for eSATA. eSATA is a  a computer bus interface that connects host bus adapters to mass storage devices such as hard disk drives and optical drives.";
26025;icecat_26025;0;;"Operating environment";;
16756;icecat_16756;0;;"ATSC/NTSC tuner";;
23212;icecat_23212;0;dropdown;"FSC compliance";;
7451;icecat_7451;0;numerical;"Current loads per port (max)";;A
28128;icecat_28128;0;y_n;"Team game mode";;
10179;icecat_10179;0;numerical;"Total Q-factor (Qts)";;
13116;icecat_13116;0;;"Vertical resolution fine (lines/mm)";;
15486;icecat_15486;0;;"Power supply docking speaker";;
16792;icecat_16792;0;dropdown;"Headboard upholstery material";;
14231;icecat_14231;0;;"DSD output";;
20212;icecat_20212;0;;Exterior;;
30384;icecat_30384;0;numerical;"Interface module BNC ports quantity";;
31525;icecat_31525;0;numerical;"Footrest depth";;mm
15138;icecat_15138;0;numerical;"Floor nozzle cleaning width";;mm
22121;icecat_22121;0;y_n;"Built-in controller";;
28932;icecat_28932;0;y_n;"Drill bit stop collar included";;
9795;icecat_9795;0;2d;"Maximum video capture resolution (PAL)";;pixels
28071;icecat_28071;0;numerical;"Number of air stones";;
8642;icecat_8642;0;y_n;"Suitable for entire body";"The device can be used over the entire body e.g. to remove leg hair.";
24729;icecat_24729;0;numerical;"Saucepan 2 diameter";;mm
25550;icecat_25550;0;;"Frother material";;
14409;icecat_14409;0;;"Built-in phonebook";;
19753;icecat_19753;0;text;"Power cable type";;
22862;icecat_22862;0;2d;"Tom tom 2 fit dimensions (D x H)";;""""
17656;icecat_17656;0;y_n;"Salad spinning";;
18754;icecat_18754;0;numerical;Capacity;;mm
31207;icecat_31207;0;numerical;"Gymnema sylvestre content (per serving)";;mg
5155;icecat_5155;0;text;DVD-R;;
3628;icecat_3628;0;multi_dropdown;"ISO A-series sizes (A0...A9)";"Different sizes of paper from A0 (big) to A9 (small). A4 is the most common size used for printing documents.";
23434;icecat_23434;0;numerical;"LSF HF preheat 12000h rated, 3h";;%
9975;icecat_9975;0;numerical;"Firewood consumption";;kg/h
15064;icecat_15064;0;;"CD ripping";;
24733;icecat_24733;0;numerical;"Frying pan 2 diameter";;mm
2577;icecat_2577;0;numerical;"Maximum capacity";"Maximum cooling capacity.";BTU
3461;icecat_3461;0;multi_dropdown;"Memory adapter included";;
20451;icecat_20451;0;;"Transmission frequency";;Hz
24848;icecat_24848;0;y_n;"Canopy height adjustment";;
30003;icecat_30003;0;y_n;"Single estate tea";;
17469;icecat_17469;0;;eSATAp;;
9414;icecat_9414;0;y_n;"Adjustable stem";;
7790;icecat_7790;0;numerical;"Liquid tank capacity";"The amount of liquid which can be held in the tank.";L
20816;icecat_20816;0;range;"Temperature rise range";;°C/h
3165;icecat_3165;0;text;"Core unit input";"Describes the type of core unit input connections";
14993;icecat_14993;0;;"Steam Clean function";;
25227;icecat_25227;0;dropdown;"Central control unit interface";;
13565;icecat_13565;0;;"Sensor-shift mechanism";;
22948;icecat_22948;0;text;"Extinguisher rating";;
10529;icecat_10529;0;y_n;"RDS TMC traffic information";"Automatically receive traffic information via the built-in TMC connection. Let your device reroute you around congestion.";
15654;icecat_15654;0;;"Secondary audio support";;
12179;icecat_12179;0;;"Continuous steam output";;
16400;icecat_16400;0;numerical;"Number of discrete graphics adapters installed";;
16395;icecat_16395;0;;"Dimensions (HxWxD)";;cm
17428;icecat_17428;0;;"Suitable for UPS";;
4492;icecat_4492;0;numerical;"Stand weight (lb)";;lbs
5706;icecat_5706;0;numerical;SmartResponse;;ms
29981;icecat_29981;0;dropdown;"Evaluation assurance level (EAL)";;
22314;icecat_22314;0;numerical;"Channels quantity (DVB-T)";;
14839;icecat_14839;0;;ATSC-SI;;
12779;icecat_12779;0;;"Standard cartridge capacity";;pages
25568;icecat_25568;0;y_n;Dustless;;
17773;icecat_17773;0;text;"Blade shape";;
12600;icecat_12600;0;;"Docking speaker dimension (WxHxD)";;mm
4877;icecat_4877;0;y_n;"Improved dispensing system";;
24051;icecat_24051;0;numerical;"Number of propeller blades";;
24881;icecat_24881;0;numerical;"Punch capacity (click binding)";;sheets
23840;icecat_23840;0;y_n;"Built-in hood";;
16761;icecat_16761;0;;"Ultra fast play";;
16340;icecat_16340;0;;"Colour depth (internal display)";;
27755;icecat_27755;0;;"Number of massage brushes";;
24702;icecat_24702;0;y_n;"UVA & UVB protection";;
3091;icecat_3091;0;numerical;"Microphone dynamic range";;dB
4217;icecat_4217;0;text;"Base station features";;
8749;icecat_8749;0;y_n;"Online web browsing";;
29587;icecat_29587;0;numerical;"Nut connection size";;""""
1991;icecat_1991;0;text;"Encoding method";"Indicates the encoding method.";
2928;icecat_2928;0;dropdown;"OpenGL version";"OpenGL (Open Graphics Library) is a specification defining a cross-language cross-platform API for writing applications that produce 3D computer graphics (and 2D computer graphics as well). The interface consists of over 250 different function calls which can be used to draw complex three-dimensional scenes from simple primitives.";
19324;icecat_19324;0;numerical;"Sanding disc speed (min)";;RPM
29196;icecat_29196;0;y_n;"Quick deflation";;
23211;icecat_23211;0;numerical;"Number of napkins";;
20914;icecat_20914;0;y_n;"Adjustable length";;
17248;icecat_17248;0;;"DSD remastering";;
7604;icecat_7604;0;y_n;"World time function";;
18339;icecat_18339;0;y_n;"Fuel level indicator";;
31260;icecat_31260;0;numerical;"Lamination speed (min)";;mm/min
11978;icecat_11978;0;;"Ambiglow features";;
14124;icecat_14124;0;numerical;"BD-RE XL write speed";;x
9287;icecat_9287;0;numerical;"Number of button holes";;
31444;icecat_31444;0;dropdown;"Camera case colour";;
24301;icecat_24301;0;;"Exposure settings";;
28527;icecat_28527;0;y_n;"ACS 5 compatibility";;
15567;icecat_15567;0;y_n;"Fixing agent";;
17287;icecat_17287;0;numerical;"Maximum group size";;person(s)
14862;icecat_14862;0;numerical;"Water flow (max)";;l/min
14263;icecat_14263;0;;"Repeat mode";;
24090;icecat_24090;0;dropdown;"Repair patch 3 shape";;
9968;icecat_9968;0;y_n;"Broom included";;
4504;icecat_4504;0;y_n;"Optimal vent pattern";;
8766;icecat_8766;0;numerical;"Maximum device depth";;mm
2498;icecat_2498;0;numerical;"Freezing capacity";"The freezing power is the weight of fresh food that the freezer can freeze from room temperature down to mentioned temperature in 24 hours. It is usually measured in kilograms/24 hours.";kg/24h
31531;icecat_31531;0;numerical;"Dehumidifying capacity (max)";;l/h
26560;icecat_26560;0;numerical;"L-tyrosine content (per serving)";;mg
19896;icecat_19896;0;;Microphone;;
7235;icecat_7235;0;text;"Warm water tank type";;
27325;icecat_27325;0;text;"Word processors supported";;
5252;icecat_5252;0;numerical;"Capacity small jar";;ml
8167;icecat_8167;0;multi_dropdown;"Fax resolution modes";;
13630;icecat_13630;0;;"Operating instructions language";;
26027;icecat_26027;0;;"Sterilisation time";;
30473;icecat_30473;0;3d;"Tracking marker dimensions (WxDxH)";;mm
638;icecat_638;0;range;"Aperture range (F-F)";"Aperture range of the device's optics, expressed in f-stops.";
26943;icecat_26943;0;multi_dropdown;"Lighting control modes";;
8442;icecat_8442;0;numerical;"Second camera resolution";;MP
10050;icecat_10050;0;numerical;"Switchable DC voltage";;V
13747;icecat_13747;0;;"Advanced smooth scan";;
26716;icecat_26716;0;numerical;"L-isoleucine content (per 100 g)";;mg
30107;icecat_30107;0;numerical;"Compatible desk top width (max)";;mm
25428;icecat_25428;0;numerical;"Table football bar diameter";;mm
31320;icecat_31320;0;numerical;"Minimum tablet screen size compatibility";;""""
24235;icecat_24235;0;y_n;"Glycol free";;
17904;icecat_17904;0;numerical;"Game duration";;min
20767;icecat_20767;0;;"Base-liner sheet width";;mm
8752;icecat_8752;0;y_n;"Electronic Cell Protection (ECP)";;
22832;icecat_22832;0;y_n;"Gaming chair";;
770;icecat_770;0;text;"Enhanced copy resolution";;
5584;icecat_5584;0;multi_dropdown;"Solid-state drive interface";"The type of interface(s) with which the Solid State Drive is connected to other hardware.";
22492;icecat_22492;0;numerical;"Outer shield overlap";;%
5826;icecat_5826;0;text;"Net weight (inner carton)";;lbs
20694;icecat_20694;0;numerical;"Strands 1 quantity";;
3415;icecat_3415;0;2d;"Effective viewing area";;mm
21888;icecat_21888;0;numerical;"Bezel depth";;mm
25388;icecat_25388;0;;"Additional information URL";;
17339;icecat_17339;0;y_n;Odorless;;
28141;icecat_28141;0;numerical;"Approximate mixing ratio (min)";;l/kg
17905;icecat_17905;0;;InstaPort;;
11064;icecat_11064;0;range;"Middle compartment temperature range";;°C
6772;icecat_6772;0;numerical;"Sanding surface";;m²
25000;icecat_25000;0;numerical;"Number of glasses";;pc(s)
11459;icecat_11459;0;numerical;"Pad width (max)";"The size of the pad from one side to the other.";mm
13174;icecat_13174;0;;Performance;;
15798;icecat_15798;0;text;"Original model name";;
2280;icecat_2280;0;text;"Map datums";;
5300;icecat_5300;0;y_n;"Universal motor, radio/TV interference suppressed";;
2399;icecat_2399;0;y_n;"CD Text";;
28506;icecat_28506;0;y_n;"Feeding hose included";;
22015;icecat_22015;0;y_n;"Sound effects";;
8944;icecat_8944;0;2d;"Main camera resolution";;pixels
1006;icecat_1006;0;y_n;"Numeric keypad";"Small, palm-sized, seventeen key section of a computer keyboard, usually on the very far right. The numeric keypad features digits 0 to 9, addition (+), subtraction (-), multiplication (*) and division (/) symbols, a decimal point (.) and Num Lock and Enter keys. Laptop keyboards often do not have a numpad, but may provide numpad input by holding a modifier key (typically labelled ""Fn"") and operating keys on the standard keyboard.";
19230;icecat_19230;0;numerical;"Cutting thickness (max)";;mm
15388;icecat_15388;0;y_n;"Orange stick";;
21783;icecat_21783;0;;"Requires a processor with Intel Graphics Technology";;
20699;icecat_20699;0;dropdown;"Fixation type";;
16161;icecat_16161;0;;"Recording resolution";;
24468;icecat_24468;0;;"Focus range (from the front of the lens)";;
14837;icecat_14837;0;;"Antenna input";;
10849;icecat_10849;0;y_n;"Garmin MapSource Product Creator (MPC) supported";;
13025;icecat_13025;0;;"Stirrer on/off switch";;
29757;icecat_29757;0;;"Luminence variability control";;
23706;icecat_23706;0;y_n;"Adjustable switch-float";;
847;icecat_847;0;text;"Search speed performance";;
29234;icecat_29234;0;range;"Speaker impedance range";;Ω
28491;icecat_28491;0;alphanumeric;"Intrastat code";;
18333;icecat_18333;0;numerical;"Engine number of strokes";;
6509;icecat_6509;0;numerical;"Fax resolution (quick scan)";;DPI
17311;icecat_17311;0;;"Scan daily duty cycle";;pages
17451;icecat_17451;0;;"Modular assembly";;
15402;icecat_15402;0;numerical;"Magnification 2";;x
26846;icecat_26846;0;y_n;"Snow level control";;
22391;icecat_22391;0;text;"Share folder";;
10039;icecat_10039;0;numerical;"Number of groups";;
25867;icecat_25867;0;y_n;"Tare function";;
22695;icecat_22695;0;numerical;"Key response time (min)";;ms
13807;icecat_13807;0;numerical;"Number of cutting elements";;
22650;icecat_22650;0;y_n;"Band-pass filter";;
21471;icecat_21471;0;range;"Ambient temperature range";;°C
30558;icecat_30558;0;y_n;"Leaves no stain";;
20702;icecat_20702;0;multi_dropdown;"Pet food flavor";;
21384;icecat_21384;0;range;"Serving temperature";;°C
15501;icecat_15501;0;;"Surge indicator";;
18559;icecat_18559;0;;"Print speed (A1)";;
5238;icecat_5238;0;numerical;"Weight precision trimmer";;g
27408;icecat_27408;0;numerical;"Screw diameter (min)";;mm
25526;icecat_25526;0;;"Hue bridge diameter";;mm
1997;icecat_1997;0;text;"Fax resolution fine mode (Black and White)";;
10775;icecat_10775;0;dropdown;"Water tap type";;
14293;icecat_14293;0;;"MP3 enhancer";;
5273;icecat_5273;0;text;"Max. temperature (ceramic rollers)";;
8389;icecat_8389;0;dropdown;"Buttonhole type";"Buttonholes are holes in fabric which allow buttons to pass through, securing one piece of the fabric to another.  There are two types of buttonhole function  in modern sewing machines:, 1 step and 4 step.";
7508;icecat_7508;0;2d;"Second display resolution";;pixels
30836;icecat_30836;0;y_n;"Ink cartridge included";;
27818;icecat_27818;0;numerical;"Zinc content (per 100 ml)";;mg
13808;icecat_13808;0;;"Auto luminance control";;
13227;icecat_13227;0;;"Sound personalization";;
24122;icecat_24122;0;;"Auto infrared night vision";;
5492;icecat_5492;0;text;Fan;"Apparatus with rotating blades that creates a current of air for cooling or ventilation.";
28630;icecat_28630;0;y_n;"Telescopic handle included";;
29992;icecat_29992;0;y_n;"Bottom heating (oven 2)";;
3063;icecat_3063;0;multi_dropdown;"Screen format adjustments";;
19801;icecat_19801;0;;"Connector diameter";;mm
8906;icecat_8906;0;range;"No-load speed range";;RPM
15420;icecat_15420;0;numerical;"Colour light output";;"ANSI lumens"
20957;icecat_20957;0;numerical;"Running time @ 2/3 load";;h
3094;icecat_3094;0;numerical;"Microphone input impedance";;Ω
26297;icecat_26297;0;numerical;"Package assortment";;
30074;icecat_30074;0;numerical;"Number of puzzle 9 pieces";;pc(s)
4568;icecat_4568;0;text;"Adjustable guard";;
12081;icecat_12081;0;;"Screw rings with handle included";;pc(s)
26976;icecat_26976;0;numerical;"Length 2 spoon";;mm
13586;icecat_13586;0;y_n;"UID button";;
29740;icecat_29740;0;;"Home URL page";;
7784;icecat_7784;0;multi_dropdown;"Nominal speeds";;RPM
27568;icecat_27568;0;numerical;"Drain hole diameter";;mm
796;icecat_796;0;text;"Printer management";"Printer management software used by this product included as standard";
6334;icecat_6334;0;text;"Number of slices capacity";;pc(s)
16765;icecat_16765;0;;"VCD 1.1 playback";;
15703;icecat_15703;0;;"Foam filter";;
7964;icecat_7964;0;numerical;"Number of HDMI outputs";"Port (socket) for HDMI output.";
9789;icecat_9789;0;y_n;"x.v.Color support";"The device can use x.v.Color (xvYCC), which is used in the video electronics of television sets to support a gamut (colour pallette) 1.8 times as large as that of the sRGB color space. xvYCC was proposed by Sony, specified by the IEC in October 2005 and published in January 2006 as IEC 61966-2-4.";
25126;icecat_25126;0;3d;"Tambourine dimensions (WxDxH)";;mm
10079;icecat_10079;0;numerical;"Number of PINs";;
19721;icecat_19721;0;numerical;"Number of LEDs";;
20951;icecat_20951;0;numerical;"Number of nails included";;pc(s)
15331;icecat_15331;0;y_n;"Waffle making";;
5330;icecat_5330;0;text;"Input level range";;
29638;icecat_29638;0;y_n;"Collet lock";;
17056;icecat_17056;0;range;"Pulse rate measurement range";;bpm
10105;icecat_10105;0;y_n;"Adjustable tray";"Capability of regulating of the tray size.";
16252;icecat_16252;0;;"Slow shutter mode (LSS)";;
4836;icecat_4836;0;text;"Finishing loudspeakers";;
31468;icecat_31468;0;y_n;"Incline adjustment";;
20410;icecat_20410;0;y_n;"Macrovision License Required";;
7935;icecat_7935;0;multi_dropdown;Placement;"Where the product can be placed e.g. floor, wall.";
18354;icecat_18354;0;numerical;"Brush diameter";;mm
12502;icecat_12502;0;;"Pocket Memo meeting recorder";;
14381;icecat_14381;0;;"Still image size (5.0M, 3:2 mode, 2736 x 1824)";;
13104;icecat_13104;0;;"Autoclean of pressure valve";;
25664;icecat_25664;0;y_n;"Rain gutter";;
16521;icecat_16521;0;;"Speaker priority";;
22951;icecat_22951;0;dropdown;"Baking stone material";;
5461;icecat_5461;0;y_n;"Wet use";;
10228;icecat_10228;0;2d;"Bed size (W x D)";;mm
10691;icecat_10691;0;numerical;"Number of RCCBs included";;
17131;icecat_17131;0;;"Remote wireless microphone dimensions (WxDxH)";;mm
17345;icecat_17345;0;;"Paper size slip";;
23438;icecat_23438;0;numerical;"Bulb current (EL 25°C)";;mA
2882;icecat_2882;0;y_n;Foldable;"The product can be folded and so can be stored/transported more easily.";
26040;icecat_26040;0;numerical;"Funnel 3 diameter";;mm
23609;icecat_23609;0;y_n;"Relief shading";;
11326;icecat_11326;0;numerical;"Media width (max)";;mm
18211;icecat_18211;0;;"Hotel mode on/off";;
12413;icecat_12413;0;;"Non-ventilated breast milk saver shells";;pc(s)
5213;icecat_5213;0;numerical;"Flow rate";;l/min
31393;icecat_31393;0;y_n;"Pizza server";;
12983;icecat_12983;0;y_n;"Drip tray";;
1104;icecat_1104;0;text;"Networking features";;
26218;icecat_26218;0;y_n;"Date & time printing";;
12023;icecat_12023;0;y_n;"Digital sender";"Device similar to a scanner which converts paper documents into digital information for emailing, archiving, document management and more.";
9776;icecat_9776;0;numerical;Reacquisition;;s
30827;icecat_30827;0;y_n;"Fire starter included";;
10933;icecat_10933;0;numerical;"Roller diameter";;mm
4304;icecat_4304;0;y_n;"Sound-level lights";;
16168;icecat_16168;0;;"Scheduled recordings";;
24105;icecat_24105;0;;"RJ-48 connectivity";;
13755;icecat_13755;0;;"Video search";;
768;icecat_768;0;numerical;"Print speed (black with colour highlights, normal quality, A4)";;ppm
28762;icecat_28762;0;multi_dropdown;"Recommended sport";;
86;icecat_86;0;textarea;"Special features";;
5448;icecat_5448;0;y_n;"FM transmitter";;
16119;icecat_16119;0;y_n;"Hot-swap drive bays";"The places where drives (hot-swap drives) can be inserted to or removed from the computer.";
16411;icecat_16411;0;y_n;"Various lighting conditions optimization";;
2732;icecat_2732;0;y_n;"Cool touch handle(s)";;
28742;icecat_28742;0;y_n;"Nasal cushion included";;
4118;icecat_4118;0;text;"Audio input for data";;
642;icecat_642;0;text;"Memory type";"Type of memory in the device e.g. DDR3, SRAM (Static RAM).";
2300;icecat_2300;0;y_n;"CD player";"Electronic device that plays audio compact discs (CDs).";
31197;icecat_31197;0;numerical;"Hydrolysed casein protein content (per serving)";;mg
9272;icecat_9272;0;y_n;"WPS push button";;
4810;icecat_4810;0;text;"EAN Code CEE";;
24867;icecat_24867;0;numerical;"Heating element power";;W
18124;icecat_18124;0;;"Motion Eye";;
22335;icecat_22335;0;numerical;"Throughput data rate";;Mbit/s
13287;icecat_13287;0;;"Hormones removal";;
6932;icecat_6932;0;text;"Side brushes";;
19659;icecat_19659;0;numerical;"Sensor tilt angle";;°
25870;icecat_25870;0;dropdown;"Fishing line capacity";;mm/m
17040;icecat_17040;0;2d;"Softbox size (W x H)";;mm
12497;icecat_12497;0;;"Valve system (3 parts)";;
8775;icecat_8775;0;numerical;"Number of messages per folder";;
18590;icecat_18590;0;;"Brush head system";;
5647;icecat_5647;0;text;"Key management";;
31159;icecat_31159;0;numerical;"Sushi plate height";;mm
30270;icecat_30270;0;dropdown;"Light switch connectivity technology";;
529;icecat_529;0;numerical;"Print speed (colour, full page colour, normal quality, A3)";;ppm
24664;icecat_24664;0;numerical;"Number of separation pads included";;
2337;icecat_2337;0;y_n;"USB powered";"The device can be powered via a USB connection.";
18822;icecat_18822;0;dropdown;"Electromagnet finishing";;
22225;icecat_22225;0;y_n;"Pastry decorating set included";;
7627;icecat_7627;0;multi_dropdown;"Supported programming languages";;
5478;icecat_5478;0;numerical;"Height (imperial)";;""""
2336;icecat_2336;0;dropdown;"Teletext level";;
7846;icecat_7846;0;y_n;"Common interface Plus (CI+)";"In Digital Video Broadcasting, the Common Interface (CI) is a technology which allows separation of conditional access functionality from a digital TV receiver-decoder (Host) into a removable conditional access module (CAM). CI+ or Common Interface Plus implements a form of copy protection between a Conditional Access Module (CAM) and the television receiver (Host). CI+ is backward compatible with CIv1. Old television receivers, which have CIv1 CI-slot, can be used with CI+ CAM and vice versa, but for viewing only those of TV programs which are not marked as CI+ protected.";
4322;icecat_4322;0;y_n;"Made in China";;
22727;icecat_22727;0;y_n;"Conference control";;
29328;icecat_29328;0;;"Included CD note";;
9299;icecat_9299;0;numerical;"Drilling diameter in aluminium (max)";;mm
8425;icecat_8425;0;y_n;"Shoulder buttons";;
24624;icecat_24624;0;y_n;"Heating module";;
11093;icecat_11093;0;numerical;"Reverberation types quantity";;
21949;icecat_21949;0;y_n;"Cable length detection";;
2071;icecat_2071;0;text;"Storage life";"Amount of time the product can be stored.";
24749;icecat_24749;0;2d;"Suitable for changing mat (WxD)";;mm
745;icecat_745;0;text;"Video adapter driver";;
30949;icecat_30949;0;y_n;"Quick release buckle";;
11429;icecat_11429;0;y_n;"Intel Efficient Power Technology";;
10881;icecat_10881;0;numerical;"Maximum detection depth (steel)";;mm
10362;icecat_10362;0;numerical;"Jaw thickness";;mm
22879;icecat_22879;0;numerical;"Number of persons required for set up";;person(s)
9377;icecat_9377;0;y_n;"Heat function";"This product has a mode to produce heat.";
7427;icecat_7427;0;numerical;"Number of simultaneous copies";"The amount of copies that can be made at the same time.";copies
24280;icecat_24280;0;;"Measurable data (elevation)";;
83;icecat_83;0;text;Display;"The description of display that can includes display type, resolution, size etc.";
2351;icecat_2351;0;3d;"Dimensions printer compartment (W x D x H)";"Dimensions printer compartment (Width x Depth x Height).";mm
15196;icecat_15196;0;;"Electronic control";;
6731;icecat_6731;0;y_n;"CNR slot";;
1876;icecat_1876;0;text;"Output connection type";"The type of connection used for outputs from this device e.g. USB.";
30167;icecat_30167;0;dropdown;"Plug connector type";;
25043;icecat_25043;0;numerical;"Sprint power (1 minute)";;W
12180;icecat_12180;0;;"Ionic deep steam";;
4595;icecat_4595;0;text;"Two attachments";;
21263;icecat_21263;0;y_n;"Long slot";;
16752;icecat_16752;0;;"Time adjustable by";;s
21854;icecat_21854;0;range;"Conversion gain range";;dB
27687;icecat_27687;0;y_n;Cut-resistance;;
15736;icecat_15736;0;;"Web video enhancer";;
6259;icecat_6259;0;numerical;"PCI Express x1 slots";;
19274;icecat_19274;0;;"File management";;
14210;icecat_14210;0;;"Rear/Sub initial";;
27333;icecat_27333;0;multi_dropdown;"Suitable for fabric weight type";;
7288;icecat_7288;0;numerical;"Number of simultaneous SIM cards";;
14488;icecat_14488;0;;"Steady sound (automatic volume control)";;
25055;icecat_25055;0;numerical;"Maximum bicycle tube diameter";;mm
13211;icecat_13211;0;;"Bodygroom/hairclipping/facial styling";;
29051;icecat_29051;0;y_n;"Sitting mat included";;
3423;icecat_3423;0;text;"Environmental specification";;
25986;icecat_25986;0;;"Storage temperature";;
25179;icecat_25179;0;numerical;"Parallax correction";;mm
10549;icecat_10549;0;numerical;"Camera weight";;g
28403;icecat_28403;0;y_n;"Built-in tool rack";;
28675;icecat_28675;0;y_n;"Suitable for non-absorbent substrates";;
17707;icecat_17707;0;;"Pre-out impedance";;Ω
6552;icecat_6552;0;text;"Cartridge load/Unload cycles";;
26042;icecat_26042;0;text;"Scent description";;
9367;icecat_9367;0;y_n;"Egg pricker";;
29851;icecat_29851;0;text;"Burner/cooking zone 4 diameter";;mm
7669;icecat_7669;0;numerical;"GSM channels";;
10947;icecat_10947;0;text;"Duplex media weight (imperial)";;lbs
24293;icecat_24293;0;;Disclaimer;;
23054;icecat_23054;0;y_n;"Wet wipe";;
1616;icecat_1616;0;numerical;"Effective sensor resolution";;pixels
24486;icecat_24486;0;dropdown;"Computer system type";;
5382;icecat_5382;0;text;WMV9;;
14354;icecat_14354;0;;"DIVX Playback";;
22280;icecat_22280;0;dropdown;"Label holder material";;
13476;icecat_13476;0;;"Text page memory";;
30350;icecat_30350;0;numerical;"Tilt speed (min)";;°/sec
1297;icecat_1297;0;y_n;"Multi burst mode";"Multi burst allows a digital camera to automatically take multi shots and store them as one JPEG file.";
6801;icecat_6801;0;text;"Minimum distance to ceiling";;mm
10222;icecat_10222;0;numerical;"Number of pillows included";;
15896;icecat_15896;0;y_n;"FM antenna port";;
639;icecat_639;0;numerical;"Copy speed (best quality, colour, A4)";;cpm
30151;icecat_30151;0;multi_dropdown;"Configurable video inputs";;
16890;icecat_16890;0;;"Graphics Adapter(Data Width)";;
16899;icecat_16899;0;;"Freezer capacity";;L
17957;icecat_17957;0;y_n;Confetti;;
6065;icecat_6065;0;text;"Non-printable area roll media (imperial)";;
11030;icecat_11030;0;text;"Watch marker style";"The type of the dial, which is the part of an clock (or watch) that displays the time e.g. arabic numerals, roman numerals.";
17829;icecat_17829;0;y_n;"Smoke emission";;
27005;icecat_27005;0;y_n;"Muscular back pain relief";;
11808;icecat_11808;0;;"Steaming tray";;
23023;icecat_23023;0;numerical;"Maximum Lift Off Distance (LOD)";;mm
29015;icecat_29015;0;y_n;"Dealer button included";;
11871;icecat_11871;0;;"Subwoofer cable length";;m
25602;icecat_25602;0;y_n;"Foot traffic resistant";;
2476;icecat_2476;0;numerical;"Total net capacity";"The total storage capacity of the fridge/freezer, so excluding walls and components.";L
15946;icecat_15946;0;;"PC connect update (Ethernet)";;
22473;icecat_22473;0;y_n;"Dangerous for the environment";;
12841;icecat_12841;0;;"Speed control";;
8684;icecat_8684;0;multi_dropdown;"Signal source";"The type of signal and/or where it comes from.";
30871;icecat_30871;0;textarea;"Disposal & recycling";;
24430;icecat_24430;0;;"Enclosure dimensions (Cb)";;
22369;icecat_22369;0;y_n;"Auto Wireless Distribution System (WDS)";;
26728;icecat_26728;0;numerical;"Vitamin A Daily Value (DV) content (per serving)";;%
11060;icecat_11060;0;dropdown;"Knobs colour";;
19915;icecat_19915;0;;"Illumination angle";;°
22813;icecat_22813;0;2d;"Mattress dimensions (W x L)";;mm
24929;icecat_24929;0;y_n;ADSL2+;;
